"Gene_Symbol"	"METHY_BRCA_BETA"	"METHY_BRCA_"	"METHY_BRCA_START"	"METHY_BRCA_END"	"METHY_GBM_BETA"	"METHY_GBM_"	"METHY_GBM_START"	"METHY_GBM_END"	"METHY_OV_BETA"	"METHY_OV_"	"METHY_OV_START"	"METHY_OV_END"	"METHY_LUAD_BETA"	"METHY_LUAD_"	"METHY_LUAD_START"	"METHY_LUAD_END"	"METHY_UCEC_BETA"	"METHY_UCEC_"	"METHY_UCEC_START"	"METHY_UCEC_END"	"METHY_KIRC_BETA"	"METHY_KIRC_"	"METHY_KIRC_START"	"METHY_KIRC_END"	"METHY_LUSC_BETA"	"METHY_LUSC_"	"METHY_LUSC_START"	"METHY_LUSC_END"	"METHY_COAD_BETA"	"METHY_COAD_"	"METHY_COAD_START"	"METHY_COAD_END"	"METHY_STAD_BETA"	"METHY_STAD_"	"METHY_STAD_START"	"METHY_STAD_END"	"METHY_KIRP_BETA"	"METHY_KIRP_"	"METHY_KIRP_START"	"METHY_KIRP_END"	"METHY_LAML_BETA"	"METHY_LAML_"	"METHY_LAML_START"	"METHY_LAML_END"	"METHY_READ_BETA"	"METHY_READ_"	"METHY_READ_START"	"METHY_READ_END"
"MKNK2"	"0.0121474997393618"	"19"	"2050774"	"2050775"	"0.0206617711001933"	"19"	"2050774"	"2050775"	"0.00779105193976641"	"19"	"2050774"	"2050775"	"0.0189440067617766"	"19"	"2050774"	"2050775"	"0.0112083509644826"	"19"	"2050774"	"2050775"	"0.0107708799101985"	"19"	"2050774"	"2050775"	"0.0163390403133942"	"19"	"2050774"	"2050775"	"0.0100906477191843"	"19"	"2050774"	"2050775"	"0.0152564799441578"	"19"	"2050774"	"2050775"	"0.0132236800466795"	"19"	"2050774"	"2050775"	"0.0117550703819106"	"19"	"2050774"	"2050775"	"0.0081928370615935"	"19"	"2050774"	"2050775"
"MORC2"	"0.0182525083693858"	"22"	"30968962"	"30968963"	"0.0390809452396836"	"22"	"30968962"	"30968963"	"0.00942411944830871"	"22"	"30968962"	"30968963"	"0.00754549516093832"	"22"	"30968962"	"30968963"	"0.0250323331686991"	"22"	"30968962"	"30968963"	"0.0273820458216951"	"22"	"30968962"	"30968963"	"0.0281089859272578"	"22"	"30968962"	"30968963"	"0.0262338245704112"	"22"	"30968962"	"30968963"	"0.0368048250788455"	"22"	"30968962"	"30968963"	"0.0151667955821379"	"22"	"30968962"	"30968963"	"0.0354455087267395"	"22"	"30968962"	"30968963"	"0.0083154694582072"	"22"	"30968962"	"30968963"
"NDUFC2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"NNT"	"0.0186998256916291"	"5"	"43602564"	"43602565"	"0.0577614088330621"	"5"	"43602564"	"43602565"	"0.015545648783937"	"5"	"43602564"	"43602565"	"0.0235199717103213"	"5"	"43602564"	"43602565"	"0.022886319329826"	"5"	"43602564"	"43602565"	"0.0203322094225911"	"5"	"43602564"	"43602565"	"0.0222407791180857"	"5"	"43602564"	"43602565"	"0.0195960580257939"	"5"	"43602564"	"43602565"	"0.0295091060565463"	"5"	"43602564"	"43602565"	"0.0211164664997975"	"5"	"43602564"	"43602565"	"0.0212877781267644"	"5"	"43602564"	"43602565"	"0.0190939632797372"	"5"	"43602564"	"43602565"
"RPRD1A"	"0.0200000071490462"	"18"	"36067507"	"36067508"	"0.037203778016235"	"18"	"36067507"	"36067508"	"0.0138218315617402"	"18"	"36067507"	"36067508"	"0.0253828479595778"	"18"	"36067507"	"36067508"	"0.0202687281566913"	"18"	"36067507"	"36067508"	"0.0177271447194049"	"18"	"36067507"	"36067508"	"0.0183983191594121"	"18"	"36067507"	"36067508"	"0.0192652415146201"	"18"	"36067507"	"36067508"	"0.0266795173596858"	"18"	"36067507"	"36067508"	"0.0230868530309283"	"18"	"36067507"	"36067508"	"0.0143239305443796"	"18"	"36067507"	"36067508"	"0.0215443592522281"	"18"	"36067507"	"36067508"
"SDC4"	"0.25285683525967"	"20"	"45348833"	"45348834"	"0.519557591783388"	"20"	"45348833"	"45348834"	"0.148280407907785"	"20"	"45348833"	"45348834"	"0.420441429458486"	"20"	"45348833"	"45348834"	"0.193608703182852"	"20"	"45348833"	"45348834"	"0.20000448852666"	"20"	"45348833"	"45348834"	"0.239292275896467"	"20"	"45348833"	"45348834"	"0.153683060318047"	"20"	"45348833"	"45348834"	"0.253728464484329"	"20"	"45348833"	"45348834"	"0.407187455636106"	"20"	"45348833"	"45348834"	"0.638492683958429"	"20"	"45348833"	"45348834"	"0.120016746560345"	"20"	"45348833"	"45348834"
"SH3D19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SNAPC2"	"0.0165252637163962"	"19"	"7921252"	"7921253"	"0.0356652497795741"	"19"	"7921252"	"7921253"	"0.0152450015556518"	"19"	"7921252"	"7921253"	"0.0280257378654054"	"19"	"7921252"	"7921253"	"0.0246739995318289"	"19"	"7921252"	"7921253"	"0.0183513099842444"	"19"	"7921252"	"7921253"	"0.0165790232997258"	"19"	"7921252"	"7921253"	"0.0241195492881617"	"19"	"7921252"	"7921253"	"0.0174709009587114"	"19"	"7921252"	"7921253"	"0.0974776144487465"	"19"	"7921252"	"7921253"	"0.0171352978374349"	"19"	"7921252"	"7921253"	"0.0147583726327304"	"19"	"7921252"	"7921253"
"TBCB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"TM9SF3"	"0.0162006048454739"	"10"	"96586238"	"96586239"	"0.0327820032209816"	"10"	"96586238"	"96586239"	"0.0209862542948308"	"10"	"96586238"	"96586239"	"0.0269840283093041"	"10"	"96586238"	"96586239"	"0.0239997714561644"	"10"	"96586238"	"96586239"	"0.0251029021203188"	"10"	"96586238"	"96586239"	"0.0205311967172906"	"10"	"96586238"	"96586239"	"0.0193255172844178"	"10"	"96586238"	"96586239"	"0.0331557854111576"	"10"	"96586238"	"96586239"	"0.0193774547964769"	"10"	"96586238"	"96586239"	"0.028336637372363"	"10"	"96586238"	"96586239"	"0.021012384314378"	"10"	"96586238"	"96586239"
"VPS4A"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MBP"	"0.718011333062369"	"18"	"77133466"	"77133467"	"0.96718723306503"	"18"	"77133466"	"77133467"	"0.706531659064365"	"18"	"77133466"	"77133467"	"0.69326762901362"	"18"	"77133466"	"77133467"	"0.457927109426208"	"18"	"77133466"	"77133467"	"0.674303557949293"	"18"	"77133466"	"77133467"	"0.797155412002368"	"18"	"77133466"	"77133467"	"0.704093807942253"	"18"	"77133466"	"77133467"	"0.601131458262291"	"18"	"77133466"	"77133467"	"0.890907358605593"	"18"	"77133466"	"77133467"	"0.456196056242892"	"18"	"77133466"	"77133467"	"0.609141406526334"	"18"	"77133466"	"77133467"
"RNASE2"	"0.372178837322016"	"14"	"20955610"	"20955611"	"0.191528550014581"	"14"	"20955610"	"20955611"	"0.670912396435139"	"14"	"20955610"	"20955611"	"0.0642365961411621"	"14"	"20955610"	"20955611"	"0.832511935171842"	"14"	"20955610"	"20955611"	"0.215039209843508"	"14"	"20955610"	"20955611"	"0.17275324010499"	"14"	"20955610"	"20955611"	"0.716014182508474"	"14"	"20955610"	"20955611"	"0.136637908216306"	"14"	"20955610"	"20955611"	"0.608168240325121"	"14"	"20955610"	"20955611"	"0.0338117301447933"	"14"	"20955610"	"20955611"	"0.584186416714082"	"14"	"20955610"	"20955611"
"CDKN2B"	"0.0374413854332277"	"9"	"22009519"	"22009520"	"0.0726192252170744"	"9"	"22009519"	"22009520"	"0.0164406647124406"	"9"	"22009519"	"22009520"	"0.072586391038733"	"9"	"22009519"	"22009520"	"0.087897949425748"	"9"	"22009519"	"22009520"	"0.0581651412759496"	"9"	"22009519"	"22009520"	"0.0430117871348692"	"9"	"22009519"	"22009520"	"0.0299936483289889"	"9"	"22009519"	"22009520"	"0.0683714621983948"	"9"	"22009519"	"22009520"	"0.0559469494245722"	"9"	"22009519"	"22009520"	"0.425963800639952"	"9"	"22009519"	"22009520"	"0.0442365494956389"	"9"	"22009519"	"22009520"
"BACE1"	"0.011293262390984"	"11"	"117316180"	"117316181"	"0.0326035432050756"	"11"	"117316180"	"117316181"	"0.0313449441500266"	"11"	"117316180"	"117316181"	"0.184836357764241"	"11"	"117316180"	"117316181"	"0.0138594144618081"	"11"	"117316180"	"117316181"	"0.00927503074164436"	"11"	"117316180"	"117316181"	"0.214384587480165"	"11"	"117316180"	"117316181"	"0.00801421719568822"	"11"	"117316180"	"117316181"	"0.0440989563614087"	"11"	"117316180"	"117316181"	"0.0351676678628348"	"11"	"117316180"	"117316181"	"0.025058081871655"	"11"	"117316180"	"117316181"	"0.0213257566639773"	"11"	"117316180"	"117316181"
"HOXA1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"HOXA4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"DLX5"	"0.0779296792079464"	"7"	"97024873"	"97024874"	"0.0552977778240344"	"7"	"97024873"	"97024874"	"0.0132248248560876"	"7"	"97024873"	"97024874"	"0.0224389960476863"	"7"	"97024873"	"97024874"	"0.0211137156749133"	"7"	"97024873"	"97024874"	"0.124357504206458"	"7"	"97024873"	"97024874"	"0.0348923550962468"	"7"	"97024873"	"97024874"	"0.0573314511482861"	"7"	"97024873"	"97024874"	"0.139624503090805"	"7"	"97024873"	"97024874"	"0.0205775236399325"	"7"	"97024873"	"97024874"	"0.0385456036135928"	"7"	"97024873"	"97024874"	"0.0175328470590731"	"7"	"97024873"	"97024874"
"DLX6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"GAD1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"AFF1"	"0.0254371954004292"	"4"	"87007018"	"87007019"	"0.0321305035380209"	"4"	"87007018"	"87007019"	"0.0234795952758128"	"4"	"87007018"	"87007019"	"0.0354445066241046"	"4"	"87007018"	"87007019"	"0.0391707170805756"	"4"	"87007018"	"87007019"	"0.0882254953765747"	"4"	"87007018"	"87007019"	"0.0300064910552532"	"4"	"87007018"	"87007019"	"0.0187038603758008"	"4"	"87007018"	"87007019"	"0.0299952703931289"	"4"	"87007018"	"87007019"	"0.032542853206049"	"4"	"87007018"	"87007019"	"0.0342050388089787"	"4"	"87007018"	"87007019"	"0.0259047074608123"	"4"	"87007018"	"87007019"
"CDX2"	"0.45826985539293"	"13"	"27968976"	"27968977"	"0.0283980214601886"	"13"	"27968976"	"27968977"	"0.244825337634432"	"13"	"27968976"	"27968977"	"0.0250055468448246"	"13"	"27968976"	"27968977"	"0.0206886894581816"	"13"	"27968976"	"27968977"	"0.0315803882614928"	"13"	"27968976"	"27968977"	"0.337102563366178"	"13"	"27968976"	"27968977"	"0.0127454822324735"	"13"	"27968976"	"27968977"	"0.0494734098799005"	"13"	"27968976"	"27968977"	"0.0244419633952436"	"13"	"27968976"	"27968977"	"0.0310421190696558"	"13"	"27968976"	"27968977"	"0.0148984255939642"	"13"	"27968976"	"27968977"
"DPPA3"	"0.447037058604433"	"12"	"7711480"	"7711481"	"0.708650323886506"	"12"	"7711480"	"7711481"	"0.899873687982116"	"12"	"7711480"	"7711481"	"0.596025207905638"	"12"	"7711480"	"7711481"	"0.570155954090151"	"12"	"7711480"	"7711481"	"0.46355803185173"	"12"	"7711480"	"7711481"	"0.561224703079181"	"12"	"7711480"	"7711481"	"0.681251843606658"	"12"	"7711480"	"7711481"	"0.614435832099452"	"12"	"7711480"	"7711481"	"0.851976762938911"	"12"	"7711480"	"7711481"	"0.806429250286442"	"12"	"7711480"	"7711481"	"0.500115478898398"	"12"	"7711480"	"7711481"
"EOMES"	"0.674969112950178"	"3"	"27722246"	"27722247"	"0.0355829399229862"	"3"	"27722246"	"27722247"	"0.570270653752256"	"3"	"27722246"	"27722247"	"0.0276679189150442"	"3"	"27722246"	"27722247"	"0.0348073300700322"	"3"	"27722246"	"27722247"	"0.0602421211674874"	"3"	"27722246"	"27722247"	"0.0257258857792142"	"3"	"27722246"	"27722247"	"0.0270907236251271"	"3"	"27722246"	"27722247"	"0.493013023555667"	"3"	"27722246"	"27722247"	"0.0252128996808091"	"3"	"27722246"	"27722247"	"0.026126497561432"	"3"	"27722246"	"27722247"	"0.466757733346095"	"3"	"27722246"	"27722247"
"FGF4"	"0.825782015086619"	"11"	"69776615"	"69776616"	"0.928372447603217"	"11"	"69776615"	"69776616"	"0.910392153856853"	"11"	"69776615"	"69776616"	"0.672212839603419"	"11"	"69776615"	"69776616"	"0.861007412465932"	"11"	"69776615"	"69776616"	"0.804576611874996"	"11"	"69776615"	"69776616"	"0.778787642761459"	"11"	"69776615"	"69776616"	"0.810684979687064"	"11"	"69776615"	"69776616"	"0.811392813323844"	"11"	"69776615"	"69776616"	"0.896662132280693"	"11"	"69776615"	"69776616"	"0.841501128005177"	"11"	"69776615"	"69776616"	"0.882568374595508"	"11"	"69776615"	"69776616"
"GATA3"	"0.582360376101518"	"10"	"8052678"	"8052679"	"0.438586572098444"	"10"	"8052678"	"8052679"	"0.594617486692591"	"10"	"8052678"	"8052679"	"0.0505324374552484"	"10"	"8052678"	"8052679"	"0.0665460430428477"	"10"	"8052678"	"8052679"	"0.0471212737819154"	"10"	"8052678"	"8052679"	"0.0762763500432077"	"10"	"8052678"	"8052679"	"0.0823192246735487"	"10"	"8052678"	"8052679"	"0.335402077586853"	"10"	"8052678"	"8052679"	"0.280902834760758"	"10"	"8052678"	"8052679"	"0.0631620742764739"	"10"	"8052678"	"8052679"	"0.0383713886283685"	"10"	"8052678"	"8052679"
"GATA6"	"0.0156778720518041"	"18"	"22169543"	"22169544"	"0.168788414567382"	"18"	"22169543"	"22169544"	"0.0117328383217745"	"18"	"22169543"	"22169544"	"0.0158874190282019"	"18"	"22169543"	"22169544"	"0.0142363920218703"	"18"	"22169543"	"22169544"	"0.0134752769385389"	"18"	"22169543"	"22169544"	"0.017911517474234"	"18"	"22169543"	"22169544"	"0.0144987253588001"	"18"	"22169543"	"22169544"	"0.0123097709825962"	"18"	"22169543"	"22169544"	"0.0135674583825298"	"18"	"22169543"	"22169544"	"0.0165110177984909"	"18"	"22169543"	"22169544"	"0.0102861508755998"	"18"	"22169543"	"22169544"
"GDF3"	"0.765454516339643"	"12"	"7695497"	"7695498"	"0.655820742098728"	"12"	"7695497"	"7695498"	"0.0848693809908482"	"12"	"7695497"	"7695498"	"0.337435616948221"	"12"	"7695497"	"7695498"	"0.504476554336207"	"12"	"7695497"	"7695498"	"0.0747229952136337"	"12"	"7695497"	"7695498"	"0.498149182134164"	"12"	"7695497"	"7695498"	"0.849884953990683"	"12"	"7695497"	"7695498"	"0.206722578574974"	"12"	"7695497"	"7695498"	"0.89796410182389"	"12"	"7695497"	"7695498"	"0.0383332259115241"	"12"	"7695497"	"7695498"	"0.909347317386161"	"12"	"7695497"	"7695498"
"HAND1"	"0.451053266371777"	"5"	"154478229"	"154478230"	"0.015664876281523"	"5"	"154478229"	"154478230"	"0.0196587373393654"	"5"	"154478229"	"154478230"	"0.107006880597738"	"5"	"154478229"	"154478230"	"0.0435500671448221"	"5"	"154478229"	"154478230"	"0.597121282842714"	"5"	"154478229"	"154478230"	"0.199911455429543"	"5"	"154478229"	"154478230"	"0.0108221067656492"	"5"	"154478229"	"154478230"	"0.2106387147807"	"5"	"154478229"	"154478230"	"0.0234574962689208"	"5"	"154478229"	"154478230"	"0.159718318627321"	"5"	"154478229"	"154478230"	"0.191249863045918"	"5"	"154478229"	"154478230"
"ID2"	"0.0162124580098817"	"2"	"8682158"	"8682159"	"0.471567846365177"	"2"	"8682158"	"8682159"	"0.0171867479281766"	"2"	"8682158"	"8682159"	"0.167482618746181"	"2"	"8682158"	"8682159"	"0.0443579506514767"	"2"	"8682158"	"8682159"	"0.123041535522459"	"2"	"8682158"	"8682159"	"0.227634233168179"	"2"	"8682158"	"8682159"	"0.14189643195664"	"2"	"8682158"	"8682159"	"0.0278542109343692"	"2"	"8682158"	"8682159"	"0.22799992342813"	"2"	"8682158"	"8682159"	"0.287186301597713"	"2"	"8682158"	"8682159"	"0.274628768644481"	"2"	"8682158"	"8682159"
"KLF4"	"0.0179266894058268"	"9"	"107489425"	"107489426"	"0.0366436735348016"	"9"	"107489425"	"107489426"	"0.0183386536801755"	"9"	"107489425"	"107489426"	"0.0236378651190465"	"9"	"107489425"	"107489426"	"0.0177415427759387"	"9"	"107489425"	"107489426"	"0.0218227846630184"	"9"	"107489425"	"107489426"	"0.0502502717121157"	"9"	"107489425"	"107489426"	"0.0153884514872968"	"9"	"107489425"	"107489426"	"0.0231278676535184"	"9"	"107489425"	"107489426"	"0.0172267527759255"	"9"	"107489425"	"107489426"	"0.0151951644092753"	"9"	"107489425"	"107489426"	"0.0137684003771006"	"9"	"107489425"	"107489426"
"NANOG"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"POU5F1"	"0.894071811834117"	"6"	"31171379"	"31171380"	"0.921839547969546"	"6"	"31171379"	"31171380"	"0.895192151654706"	"6"	"31171379"	"31171380"	"0.853686500798867"	"6"	"31171379"	"31171380"	"0.86559457488954"	"6"	"31171379"	"31171380"	"0.892303643878871"	"6"	"31171379"	"31171380"	"0.880088433555737"	"6"	"31171379"	"31171380"	"0.896472513447894"	"6"	"31171379"	"31171380"	"0.898722064958244"	"6"	"31171379"	"31171380"	"0.875520446449101"	"6"	"31171379"	"31171380"	"0.859088622409144"	"6"	"31171379"	"31171380"	"0.870190024095296"	"6"	"31171379"	"31171380"
